Date,Time,RSSI(dB),SWR,VSpd(m/s),Alt(m),A2(V),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-12-17,08:47:54.760,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:54.970,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:55.200,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:55.400,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:55.600,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:55.800,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:56.000,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:56.200,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:56.400,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:56.600,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
